Autor;Erscheinungsjahr;Titel;ISBN;Aktueller Preis
"Heribert Stroppe, Peter Streitenberger, Eckard Specht";11.09.2023; """ Stroppe PHYSIK""";9783446478299;39,99
"Kerstin Rjasanowa";11.09.2023; """ Mathematik im Bauingenieurwesen""";9783446478527;39,99
"Calwius";05.09.2023; """ Die Natur antwortet nicht""";3384015290;Unbekannt
"Calwius";05.09.2023; """ Die Natur antwortet nicht""";3384015290;Unbekannt
"Edward Bulwer-Lytton";05.09.2023; """ Das Haus des schwarzen Magiers""";9783758400476;0,99
"Malcolm Croft";31.08.2023; """ Harry Styles""";3966647168;Unbekannt
"Leo Ball, Peter Chrisp, Julian Emsley, Clive Gifford, Jo Locke, Douglas Palmer, Ginny Smith, Giles Sparrow, Nicola Temple";28.08.2023; """ Reise durch die Wissenschaft""";3831047413;Unbekannt
"Leo Ball, Peter Chrisp, Julian Emsley, Clive Gifford, Jo Locke, Douglas Palmer, Ginny Smith, Giles Sparrow, Nicola Temple";28.08.2023; """ Reise durch die Wissenschaft""";3831047413;Unbekannt
"Claudio Franzetti";26.08.2023; """ Essenz der Informatik""";3662671530;Unbekannt
"Claudio Franzetti";26.08.2023; """ Essenz der Informatik""";3662671530;Unbekannt
"Beat Wälti, Marcus Schütte, Rachel-Ann Friesen";24.08.2023; """ Mathematik kooperativ spielen, üben, begreifen""";9783772714450;28,99
"Peter Longerich";23.08.2023; """ Joseph Goebbels""";9783641315382;16,99
"Peter Longerich";23.08.2023; """ Heinrich Himmler""";9783641315399;17,99
"Mathias Hüfner";14.08.2023; """ Götterdämmerung am Physiker-Himmel""";9783757876401;9,99
"Spektrum der Wissenschaft";11.08.2023; """ Spektrum Psychologie - Entdeckungsreise ins Ich""";9783958927636;5,49
"Gabriella Ambrus, Johann Sjuts, Éva Vásárhelyi";08.08.2023; """ Mathematik und mathematisches Denken – Ansprüche und Anforderungen vor, in und nach der Schule""";9783959872720;54,46
"Andrea Vetter";04.08.2023; """ Konviviale Technik""";9783839453544;Unbekannt
"Spektrum der Wissenschaft";26.07.2023; """ Spektrum Kompakt - Musik im Kopf""";9783958928183;5,49
"Spektrum der Wissenschaft";26.07.2023; """ Spektrum Kompakt - Musik im Kopf""";9783958928183;5,49
"Robert Walser";18.07.2023; """ Der Gehülfe""";1020449756;Unbekannt
"Robert Walser";18.07.2023; """ Der Gehülfe""";1020449756;Unbekannt
"Mario Arndt";14.07.2023; """ Die größten Mythen der Geschichte entlarvt""";9783757829452;Unbekannt
"Christina B. Class, Wolfgang Coy, Constanze Kurz, Otto Obert, Rainer Rehak, Carsten Trinitis, Stefan Ullrich, Debora Weber-Wulff";06.07.2023; """ Gewissensbisse – Fallbeispiele zu ethischen Problemen der Informatik""";9783839464632;Unbekannt
"Spektrum der Wissenschaft";06.07.2023; """ Spektrum Kompakt - Fremdsprachen""";9783958928169;5,49
"Christina B. Class, Wolfgang Coy, Constanze Kurz, Otto Obert, Rainer Rehak, Carsten Trinitis, Stefan Ullrich, Debora Weber-Wulff";06.07.2023; """ Gewissensbisse – Fallbeispiele zu ethischen Problemen der Informatik""";9783839464632;Unbekannt
"Hape Kerkeling";29.06.2023; """ Pfoten vom Tisch!""";3492330002;Unbekannt
"Wolfgang Knüll";23.06.2023; """ Nahtoderfahrungen – Blick in eine andere Welt""";9783843615051;16,99
"Spektrum der Wissenschaft";16.06.2023; """ Spektrum Kompakt - Neurodiversität""";9783958928145;5,49
"Spektrum der Wissenschaft";16.06.2023; """ Spektrum Kompakt - Neurodiversität""";9783958928145;5,49
"Petra Winkler";12.06.2023; """ Meine Biografie selbst schreiben""";9783743114012;Unbekannt
"Ernst Cassirer";12.06.2023; """ Determinismus und Indeterminismus in der modernen Physik""";9783787320332;59,99
"Markus Eichhorn";09.06.2023; """ Einführung in die Mathematik der Theoretischen Physik""";3662660784;Unbekannt
"Hilmar Heinemann, Heinz Krämer, Hellmut Zimmer, Rolf Martin";05.06.2023; """ Kleine Formelsammlung PHYSIK""";9783446478749;24,99
"F. M. Dostojewski";25.05.2023; """ Der Spieler""";3348098017;Unbekannt
"Monika Dommann";24.05.2023; """ Materialfluss""";9783104908588;22,99
"Wolfgang Seybold";21.05.2023; """ Henry Kissinger – Die Biografie""";9783986093976;13,99
"Lucinda Riley, Harry Whittaker";11.05.2023; """ Atlas - Die Geschichte von Pa Salt""";9783641261030;11,99
"Thomas Wilhelm";09.05.2023; """ Digital Physik unterrichten""";9783772717017;28,99
"Andreas Wipf";09.05.2023; """ Symmetrien in der Physik""";3662663120;Unbekannt
"Martina Baumann, Uwe Loda";18.04.2023; """ Bodysongs - Musik, die in uns lebt""";3849704777;Unbekannt
"Gudrun Hammer";06.04.2023; """ Musik in der Sonderpädagogik. Unterricht mit schwer mehrfachbehinderten Schülerinnen und Schülern""";9783346851871;15,99
"Gudrun Hammer";06.04.2023; """ Musik in der Sonderpädagogik. Unterricht mit schwer mehrfachbehinderten Schülerinnen und Schülern""";9783346851871;15,99
"Burkhart Brückner";03.04.2023; """ Kurze Geschichte der Psychiatrie""";9783825260538;Unbekannt
"Burkhart Brückner";03.04.2023; """ Kurze Geschichte der Psychiatrie""";9783825260538;Unbekannt
"Aida Bosch, Lutz Hieber, Christian Steuerwald";29.03.2023; """ Handbuch Soziologie der Künste""";365834072X;Unbekannt
"Aristoteles";24.03.2023; """ Metaphysik. Schriften zur Ersten Philosophie""";9783159621388;10,99
"Marcus Popplow";24.03.2023; """ Technik im Mittelalter""";9783406740473;9,99
"Lars Jaeger";16.03.2023; """ Geniale Frauen in Der Wissenschaften""";3662665271;Unbekannt
"Lorenz Korn";16.03.2023; """ Geschichte der islamischen Kunst""";9783406798153;9,99
"Alexander Christoph";03.03.2023; """ Mein Mandala Malbuch""";398595786X;Unbekannt
"Clemens Lorei";28.02.2023; """ Zeitschrift Polizei & Wissenschaft""";9783866767942;19
"Clemens Lorei";28.02.2023; """ Zeitschrift Polizei & Wissenschaft""";9783866767942;19
"Wolfgang Schieder";27.02.2023; """ Ein faschistischer Diktator. Adolf Hitler – Biografie""";9783806245998;23,99
"Christian Buckard";23.02.2023; """ Egon Erwin Kisch""";9783827080653;26,99
"Christian Buckard";23.02.2023; """ Egon Erwin Kisch""";9783827080653;26,99
"Vahram Atayan, Thomas Metten, Vasco Alexander Schmidt";30.01.2023; """ Handbuch Sprache in Mathematik, Naturwissenschaften und Technik""";9783110296259;230
"Vahram Atayan, Thomas Metten, Vasco Alexander Schmidt";30.01.2023; """ Handbuch Sprache in Mathematik, Naturwissenschaften und Technik""";9783110296259;230
"Ulrich Hohenester, Klaus Irgang";28.01.2023; """ Einführung in die Quantenmechanik""";3662659794;Unbekannt
"G. Schumann, Wilh. Heinze";18.01.2023; """ Lehrbuch der deutschen Geschichte""";9783368611057;Unbekannt
